 1,        1,   0.32
 1,       10,   2.37
 1,      100,   7.39
 1,     1000,   8.12
 1,    10000,   8.51
 1,   100000,  17.97
 1,   500000,  17.86
 1,  1000000,  17.86
 2,        1,   0.15
 2,       10,   1.83
 2,      100,   8.57
 2,     1000,  15.71
 2,    10000,  15.80
 2,   100000,  24.46
 2,   500000,  35.76
 2,  1000000,  35.74
 4,        1,   0.20
 4,       10,   1.28
 4,      100,  15.32
 4,     1000,  30.53
 4,    10000,  30.23
 4,   100000,  38.07
 4,   500000,  69.37
 4,  1000000,  69.24
 6,        1,   0.13
 6,       10,   1.58
 6,      100,   9.22
 6,     1000,  38.59
 6,    10000,  45.49
 6,   100000,  53.58
 6,   500000,  98.82
 6,  1000000,  97.50
 8,        1,   0.11
 8,       10,   1.05
 8,      100,  10.88
 8,     1000,  43.97
 8,    10000,  59.67
 8,   100000,  66.64
 8,   500000, 106.29
 8,  1000000, 125.82
12,        1,   0.14
12,       10,   1.24
12,      100,  10.02
12,     1000,  40.19
12,    10000,  83.99
12,   100000,  94.07
12,   500000, 137.69
12,  1000000, 179.36
